event_code,logs_benigna,logs_maliciosa,capturas_benigna,capturas_maliciosa,cobertura_benigna,cobertura_maliciosa,exclusivo
1,652,1006,10,18,1.0,1.0,
2,3,0,1,0,0.1,0.0,solo benigna
3,3,31,1,7,0.1,0.389,
4,1,2,1,2,0.1,0.111,
8,3,0,3,0,0.3,0.0,solo benigna
11,194,88,6,18,0.6,1.0,
12,46,91,9,18,0.9,1.0,
13,764,1707,9,18,0.9,1.0,
22,153,167,9,18,0.9,1.0,
23,1695,1379,9,18,0.9,1.0,
4103,512,824,4,17,0.4,0.944,
4616,1,2,1,2,0.1,0.111,
4624,406,622,10,18,1.0,1.0,
4625,2,3,1,2,0.1,0.111,
4634,333,514,10,18,1.0,1.0,
4647,10,16,9,13,0.9,0.722,
4648,47,101,10,18,1.0,1.0,
4662,1,4,1,3,0.1,0.167,
4672,294,453,10,18,1.0,1.0,
4688,11,22,1,2,0.1,0.111,
4696,1,2,1,2,0.1,0.111,
4720,3,2,3,2,0.3,0.111,
4722,3,2,3,2,0.3,0.111,
4723,1,0,1,0,0.1,0.0,solo benigna
4724,3,2,3,2,0.3,0.111,
4728,2,2,2,2,0.2,0.111,
4732,1,2,1,1,0.1,0.056,
4738,8,3,4,3,0.4,0.167,
4768,22,26,10,16,1.0,0.889,
4769,60,84,10,16,1.0,0.889,
4776,1,6,1,2,0.1,0.111,
4798,36,95,5,12,0.5,0.667,
4799,25,36,10,18,1.0,1.0,
4902,1,2,1,2,0.1,0.111,
5058,13,25,10,17,1.0,0.944,
5059,14,26,10,17,1.0,0.944,
5061,16,28,10,17,1.0,0.944,
5379,502,1275,10,18,1.0,1.0,
5382,9,19,7,16,0.7,0.889,
