clase,n_logs,duracion_seg
benigna,402,344.8
benigna,217,554.3
benigna,1016,491.0
benigna,199,200.6
benigna,590,201.6
benigna,1157,238.6
benigna,580,297.6
benigna,618,306.9
benigna,484,187.6
benigna,589,194.8
maliciosa,542,405.4
maliciosa,310,178.6
maliciosa,863,375.3
maliciosa,378,167.9
maliciosa,425,257.1
maliciosa,567,259.2
maliciosa,378,339.9
maliciosa,314,268.6
maliciosa,450,450.8
maliciosa,514,432.2
maliciosa,419,326.2
maliciosa,776,341.9
maliciosa,585,247.3
maliciosa,562,344.6
maliciosa,373,269.3
maliciosa,356,334.5
maliciosa,395,223.8
maliciosa,462,337.7
